project_index,bldg_proj_type,mat_type,mui,eci
110,New Construction,Suspension assembly,0.18920432293580247,0.45976650473400005
110,New Construction,Synthetic composites,0.0037201778753086423,0.015289931067518518
110,New Construction,Terracotta units,4.433605790802469,1.2813120735419137
110,New Construction,Wall coverings,0.003656221393395062,0.07208663649508272
110,New Construction,Wood and composites - other,0.4147218011728395,0.5018133794191358
110,New Construction,Wood or composite door,0.37912698371172837,0.2207888844614673
110,New Construction,Zinc sheet,0.00018185920419753085,0.0006565117271530865
111,New Construction,Acoustic ceiling tile aluminum,0.002375800780952381,0.01603665527142857
111,New Construction,Acoustic ceiling tile fiber,0.19824120385714283,0.39757096890785715
111,New Construction,Adhesives and sealants,0.11569566026630952,0.2852952696569214
111,New Construction,Air and vapor barriers,0.7536049255670239,0.6751739366365893
111,New Construction,Aluminum - other,0.10002363883333333,0.31907540787833333
111,New Construction,Aluminum door,0.38863332411428575,2.5999569383245715
111,New Construction,Aluminum framed window,0.11277388333333332,0.8720656718333334
111,New Construction,Aluminum sheet,1.4621740847715476,10.39372195682681
111,New Construction,Aluminum storefront or curtain wall,0.015864753047619046,0.15864753047619046
111,New Construction,CMU,160.59588009289286,17.986738570404
111,New Construction,Carpet,0.02310606202261905,0.1506515243874762
111,New Construction,Ceramic tile,2.2789914912261904,0.5970957707012619
111,New Construction,Coatings - other,0.14504167674714286,2.7487907220782914
111,New Construction,Cold formed steel framing,0.09446206118452381,0.2581106324730714
111,New Construction,Concrete - other,9.940668995392857,2.5132748954161652
111,New Construction,Doors and frames - other,0.7056416651633334,2.8634561812231474
111,New Construction,EPDM,0.22046773645809523,0.7099061113950665
111,New Construction,Expanded polystyrene EPS,0.010686889010714285,0.03473238928482143
111,New Construction,Extruded polystyrene XPS,1.4291167626511905,92.88339319166856
111,New Construction,Extrusion,0.8999157870641666,8.118298988098083
